,Number,Date,Target Attacked,Primary Target,Comments
40,287,1945-03-12,Secondary,"Target: Railway CenterType: TransportationLocation: Betzdorf, Germany",Transportation System Targeted No Aircraft Lost
41,288,1945-03-14,Primary,"Target: Railroad Bridge, Weser RiverType: TransportationLocation: Bad Oeynhausen, Germany",Railroad Bridge Attacked No Aircraft Lost
42,289,1945-03-15,Primary,"Target: Army HQType: MilitaryLocation: Zossen, Germany",Army GHQ Attacked No Aircraft Lost
43,290,1945-03-17,#6,"Target: Synthetic Oil PlantType: Oil IndustryLocation: Bohlen (Leipzig), Germany",Weather and Equipment Failures Pilot/Aircraft losses: Schauer / 42‑107148 ⇗
44,291,1945-03-18,Primary,"Target: Schlesischer Railway StationType: TransportationLocation: Berlin, Germany",384th Leads Division No Aircraft Lost
45,292,1945-03-19,Tertiary,"Target: Braunkohle-Benzin Synthetic Oil PlantType: Oil IndustryLocation: Bohlen, Germany",#3 Target Attacked Pilot/Aircraft losses: Griffin / 43‑39035 ⇗Kramer / 44‑8008 ⇗
46,293,1945-03-20,Secondary,"Target: Deutsche Werft Submarine ShipyardType: Submarine FacilityLocation: Hamburg, Germany",Hamburg Hammered Pilot/Aircraft losses: Hicks / 42‑97271 ⇗
47,294,1945-03-22,Primary,"Target: German Hutted Camps (Barracks) at 51°36'N,7°06'EType: MilitaryLocation: Westerholt, Germany",Military Camp Attacked No Aircraft Lost
48,295,1945-03-23,Primary,"Target: Railroad Marshalling YardsType: TransportationLocation: Gladbeck, Germany",Pinpoint Accuracy Pilot/Aircraft losses: Connor / 43‑39053 ⇗
49,296,1945-03-24,Primary,"Target: Vechta AirfieldType: German Air Force (Luftwaffe)Location: Vechta, Germany",Weather Cooperates No Aircraft Lost
50,297,1945-03-24,Primary,"Target: Twente Enschede AirfieldType: German Air Force (Luftwaffe)Location: Twente, Enschede, The Netherlands",Second Mission of the Day No Aircraft Lost
51,298,1945-03-26,#4,"Target: Synthetic Oil PlantType: Oil IndustryLocation: Zeitz, Germany","Weather, Equipment, TurbulencePilot/Aircraft losses:Jordan / 44‑6109 ⇗"
52,299,1945-03-28,Secondary,"Target: Berlin/Spandau Motor Transport WorksType: IndustryLocation: Spandau (Berlin), Germany",Industrial Plant Attacked No Aircraft Lost
53,300,1945-03-30,Primary,"Target: Deutsche Schiff- u. Maschinenbau A.G. (DESCHIMAG) Submarine and Warship Yard Machine ShopType: Submarine FacilityLocation: Bremen, Germany",Bremen Shipyard Attacked No Aircraft Lost
54,301,1945-03-31,Tertiary,"Target: Railroad Marshalling YardsType: TransportationLocation: Lützkendorf, Germany",Division Bombs Tertiary Target No Aircraft Lost
55,302,1945-04-03,Secondary,"Target: Underground Oil Storage DepotType: Oil IndustryLocation: Kiel, Germany",Weather Forces Change No Aircraft Lost
56,303,1945-04-04,Primary,"Target: AirfieldType: German Air Force (Luftwaffe)Location: Fassberg, Germany",Some Bombs On Target No Aircraft Lost
57,304,1945-04-05,Primary,"Target: Ordnance DepotType: MilitaryLocation: Ingolstadt, Germany",Ordnance Depot Destroyed Pilot/Aircraft losses: Cathey / 43‑37843 ⇗
58,305,1945-04-06,Secondary,"Target: Railroad Marshalling Yards (Visual Primary)Type: TransportationLocation: Leipzig, Germany",Leipzig Railyard Bombed Pilot/Aircraft losses: Gray / 43‑39164 ⇗Hastings / 43‑38801 ⇗MacKellar / 44‑6923 ⇗
59,306,1945-04-07,Primary,"Target: Underground Oil Storage PlantType: MilitaryLocation: Hitzacker, Germany",Bombardiers' Skills Pay Off No Aircraft Lost
60,307,1945-04-09,Primary,"Target: AirfieldType: German Air Force (Luftwaffe)Location: Fürstenfeldbruck, Germany",Airfield Plastered No Aircraft Lost
61,308,1945-04-10,Primary,"Target: Ordnance Depot Workshop AreaType: MilitaryLocation: Oranienburg, Germany",SS Depot Attacked No Aircraft Lost
62,309,1945-04-11,Primary,"Target: Underground Oil Storage DepotType: Oil IndustryLocation: Freiham, Germany",Underground Oil Storage Attacked No Aircraft Lost
63,310,1945-04-14,Primary,"Target: Gun BatteryType: MilitaryLocation: Royan (Bordeaux), France",Primary Target Clobbered No Aircraft Lost
64,311,1945-04-15,Primary,"Target: Flak guns at Pointe de SuzacType: MilitaryLocation: Royan, France",Flak Guns Bombed No Aircraft Lost
65,312,1945-04-16,Primary,"Target: Railroad Marshalling YardsType: TransportationLocation: Regensburg, Germany",Attack On Transportation No Aircraft Lost
66,313,1945-04-17,Primary,"Target: Railroad Marshalling YardsType: TransportationLocation: Dresden, Germany",Transportation Attacked Again No Aircraft Lost
67,314,1945-04-19,Primary,"Target: Railroad Station & Marshalling YardsType: TransportationLocation: Elsterwerda, Germany",Critical Railway Junction No Aircraft Lost
68,315,1945-04-20,Primary,"Target: Railroad Marshalling YardsType: TransportationLocation: Seddin, Germany",Clear Weather: Good Bombing No Aircraft Lost
69,316,1945-04-25,Primary,"Target: Skoda Armament WorksType: IndustryLocation: Pilsen / Plzeň, Czechoslovakia",THE LAST ONE! Pilot/Aircraft losses: Lovett / 43‑38501 ⇗
